Building probod binary...
CGO_ENABLED=0 go build -ldflags "-X 'main.version=0.94.1' -X 'main.env=prod'" -gcflags="-e" -o bin/probod-e2e ./cmd/probod
Running e2e tests...
PROBO_E2E_BINARY=/Users/gearnode/Developer/probo/probo/bin/probod-e2e \
	PROBO_E2E_CONFIG=/Users/gearnode/Developer/probo/probo/e2e/console/testdata/config.yaml \
	CGO_ENABLED=1 go test -count=1 -v ./e2e/console/...
=== RUN   TestAsset_Create
=== PAUSE TestAsset_Create
=== RUN   TestAsset_Update
=== PAUSE TestAsset_Update
=== RUN   TestAsset_Delete
=== PAUSE TestAsset_Delete
=== RUN   TestAsset_List
=== PAUSE TestAsset_List
=== RUN   TestAsset_Types
=== PAUSE TestAsset_Types
=== RUN   TestAudit_Create
=== PAUSE TestAudit_Create
=== RUN   TestAudit_Create_Validation
=== PAUSE TestAudit_Create_Validation
=== RUN   TestAudit_Update
=== PAUSE TestAudit_Update
=== RUN   TestAudit_Update_Validation
=== PAUSE TestAudit_Update_Validation
=== RUN   TestAudit_Delete
=== PAUSE TestAudit_Delete
=== RUN   TestAudit_Delete_Validation
=== PAUSE TestAudit_Delete_Validation
=== RUN   TestAudit_List
=== PAUSE TestAudit_List
=== RUN   TestAudit_Query
=== PAUSE TestAudit_Query
=== RUN   TestAudit_Timestamps
=== PAUSE TestAudit_Timestamps
=== RUN   TestAudit_SubResolvers
=== PAUSE TestAudit_SubResolvers
=== RUN   TestAudit_RBAC
=== PAUSE TestAudit_RBAC
=== RUN   TestAudit_MaxLength_Validation
=== PAUSE TestAudit_MaxLength_Validation
=== RUN   TestAudit_Pagination
=== PAUSE TestAudit_Pagination
=== RUN   TestAudit_TenantIsolation
=== PAUSE TestAudit_TenantIsolation
=== RUN   TestAudit_Ordering
=== PAUSE TestAudit_Ordering
=== RUN   TestAudit_UploadReport
=== PAUSE TestAudit_UploadReport
=== RUN   TestAudit_UploadReport_Validation
=== PAUSE TestAudit_UploadReport_Validation
